,Nationality,ISO2
0,British,GB
1,German,DE
3,Spanish,ES
4,Finnish,FI
5,Japanese,JP
6,French,FR
8,Polish,PL
11,Brazilian,BR
14,Italian,IT
16,Australian,AU
24,Austrian,AT
25,American,US
26,Dutch,NL
30,Colombian,CO
32,Portuguese,PT
34,Canadian,CA
38,Indian,IN
46,Hungarian,HU
51,Irish,IE
52,Danish,DK
59,Argentine,AR
60,Czech,CZ
61,Malaysian,MY
66,Swiss,CH
91,Belgian,BE
105,Monegasque,MC
139,Swedish,SE
187,Venezuelan,VE
190,New Zealander,NZ
193,Chilean,CL
211,Mexican,MX
221,South African,ZA
312,Liechtensteiner,LI
339,Rhodesian,ZW
491,American-Italian,US
568,Uruguayan,UY
573,Argentine-Italian,AR
669,Thai,TH
709,East German,DE
808,Russian,RU
836,Indonesian,ID
853,Chinese,CN
859,Argentinian,AR
